week,day,channel,format,language,pillar,working_title,primary_action,measurement
1,Tuesday,Instagram,Carousel,DE,Awareness,Warum die Stunde zählt,Save the checklist,Saves and completion
1,Thursday,LinkedIn,Document post,EN,Awareness,Flexibility without the jargon,Open the explainer,Qualified click-through
1,Saturday,Reels,Vertical video,Bilingual,Demonstration,One appliance one better hour,Watch to 75%,Video completion
2,Tuesday,Instagram,Carousel,DE,Understanding,Welche Geräte sind flexibel?,Comment with one device,Meaningful comments
2,Thursday,LinkedIn,Single image,DE,Trust,Nicht jeder Tarif belohnt Verschiebung,Read the caveat,Negative-feedback rate
2,Sunday,Stories,Poll,DE,Research,Wann läuft deine Spülmaschine?,Answer the poll,Poll completion
3,Tuesday,Instagram,Carousel,EN,Action,A four-step flexibility check,Save and try,Save rate
3,Thursday,LinkedIn,Text plus chart,EN,Context,Why timing and infrastructure meet,Read source notes,Source clicks
3,Saturday,Reels,Vertical video,DE,Action,In 30 Sekunden geplant,Try one routine,Completion and shares
4,Tuesday,Instagram,Carousel,DE,Reflection,Was hat nach einer Woche funktioniert?,Review your routine,Return visits
4,Thursday,LinkedIn,Document post,Bilingual,Transparency,What we can and cannot claim,Share with a colleague,Qualified shares
4,Sunday,All,Wrap-up,Bilingual,Community,Eine bessere Stunde beginnt klein,Visit the guide,Landing-page actions
